gene	type
Zm00001eb369250	SD
Zm00001eb148930	SD
Zm00001eb051510	SD
Zm00001eb376520	SD
Zm00001eb219270	SD
Zm00001eb353110	SD
Zm00001eb431860	SD
Zm00001eb192730	SD
Zm00001eb374110	SD
Zm00001eb103080	SD
Zm00001eb182640	SD
Zm00001eb329370	SD
Zm00001eb415660	SD
Zm00001eb048440	SD
Zm00001eb063150	SD
Zm00001eb119780	SD
Zm00001eb100750	SD
Zm00001eb207060	SD
Zm00001eb239100	SD
Zm00001eb367780	SD
Zm00001eb001990	SD
Zm00001eb335060	SD
Zm00001eb111560	SD
Zm00001eb214190	SD
Zm00001eb295770	SD
Zm00001eb344340	SD
Zm00001eb349040	SD
Zm00001eb288370	SD
Zm00001eb012020	SD
Zm00001eb084070	SD
Zm00001eb192960	SD
Zm00001eb159420	SD
Zm00001eb208830	SD
Zm00001eb029490	SD
Zm00001eb386020	SD
Zm00001eb187050	SD
Zm00001eb359300	SD
Zm00001eb359030	SD
Zm00001eb101120	SD
Zm00001eb327310	SD
Zm00001eb113410	SD
Zm00001eb327030	SD
Zm00001eb226650	SD
Zm00001eb105780	SD
Zm00001eb225230	SD
Zm00001eb315620	SD
Zm00001eb188690	SD
Zm00001eb146190	SD
Zm00001eb404650	SD
Zm00001eb370140	SD
Zm00001eb307210	SD
Zm00001eb218590	SD
Zm00001eb332700	SD
Zm00001eb314000	SD
Zm00001eb193830	SD
Zm00001eb129830	SD
Zm00001eb019220	SD
Zm00001eb009400	SD
Zm00001eb322390	SD
Zm00001eb363160	SD
Zm00001eb202520	SD
Zm00001eb117820	SD
Zm00001eb369360	SD
Zm00001eb433550	SD
Zm00001eb186190	SD
Zm00001eb314860	SD
Zm00001eb274400	SD
Zm00001eb322600	SD
Zm00001eb202730	SD
Zm00001eb306680	SD
Zm00001eb289200	SD
Zm00001eb358740	SD
Zm00001eb046700	SD
Zm00001eb221300	SD
Zm00001eb316780	SD
Zm00001eb206080	SD
Zm00001eb301750	SD
Zm00001eb360160	SD
Zm00001eb309920	SD
Zm00001eb146000	SD
Zm00001eb041360	SD
Zm00001eb251200	SD
Zm00001eb273020	SD
Zm00001eb025990	SD
Zm00001eb248880	SD
Zm00001eb044250	SD
Zm00001eb401480	SD
Zm00001eb104640	SD
Zm00001eb383230	SD
Zm00001eb393730	SD
Zm00001eb320880	SD
Zm00001eb336390	SD
Zm00001eb344330	SD
Zm00001eb340650	SD
Zm00001eb428400	SD
Zm00001eb089590	SD
Zm00001eb051750	SD
Zm00001eb417460	SD
Zm00001eb352040	SD
Zm00001eb332200	SD
Zm00001eb153660	SD
Zm00001eb096610	SD
Zm00001eb146650	SD
Zm00001eb327900	SD
Zm00001eb207370	SD
Zm00001eb260990	SD
Zm00001eb009240	SD
Zm00001eb186010	SD
Zm00001eb351770	SD
Zm00001eb415640	SD
Zm00001eb190340	SD
Zm00001eb431090	SD
Zm00001eb158800	SD
Zm00001eb074900	SD
Zm00001eb360260	SD
Zm00001eb273800	SD
Zm00001eb038140	SD
Zm00001eb366290	SD
Zm00001eb215420	SD
Zm00001eb403240	SD
Zm00001eb361070	SD
Zm00001eb016740	SD
Zm00001eb255560	SD
Zm00001eb367920	SD
Zm00001eb155590	SD
Zm00001eb193570	SD
Zm00001eb122190	SD
Zm00001eb212480	SD
Zm00001eb130260	SD
Zm00001eb343440	SD
Zm00001eb243510	SD
Zm00001eb291260	SD
Zm00001eb035500	SD
Zm00001eb352260	SD
Zm00001eb317460	SD
Zm00001eb119540	SD
Zm00001eb037670	SD
Zm00001eb417240	SD
Zm00001eb060330	SD
Zm00001eb363490	SD
Zm00001eb374920	SD
Zm00001eb014250	SD
Zm00001eb258010	SD
Zm00001eb395100	SD
Zm00001eb395640	SD
Zm00001eb254430	SD
Zm00001eb322370	SD
Zm00001eb250150	SD
Zm00001eb041610	SD
Zm00001eb317100	SD
Zm00001eb355590	SD
Zm00001eb425460	SD
Zm00001eb219040	SD
Zm00001eb075270	SD
Zm00001eb424450	SD
Zm00001eb100930	SD
Zm00001eb120740	SD
Zm00001eb247860	SD
Zm00001eb425580	SD
Zm00001eb390830	SD
Zm00001eb106950	SD
Zm00001eb107550	SD
Zm00001eb302460	SD
Zm00001eb102640	SD
Zm00001eb193240	SD
Zm00001eb160620	SD
Zm00001eb206660	SD
Zm00001eb015570	SD
Zm00001eb136470	SD
Zm00001eb315380	SD
Zm00001eb428540	SD
Zm00001eb347270	SD
Zm00001eb299720	SD
Zm00001eb366020	SD
Zm00001eb078490	SD
Zm00001eb034130	SD
Zm00001eb218540	SD
Zm00001eb149510	SD
Zm00001eb100300	SD
Zm00001eb037480	SD
Zm00001eb328600	SD
Zm00001eb036170	SD
Zm00001eb261270	SD
Zm00001eb361590	SD
Zm00001eb397580	SD
Zm00001eb118100	SD
Zm00001eb213800	SD
Zm00001eb176040	SD
Zm00001eb233290	SD
Zm00001eb349480	SD
Zm00001eb403930	SD
Zm00001eb255430	SD
Zm00001eb134990	SD
Zm00001eb084860	SD
Zm00001eb082700	SD
Zm00001eb051450	SD
Zm00001eb395580	SD
Zm00001eb223300	SD
Zm00001eb183970	SD
Zm00001eb354610	SD
Zm00001eb184620	SD
Zm00001eb058450	SD
Zm00001eb300620	SD
Zm00001eb358700	SD
Zm00001eb395380	SD
Zm00001eb182290	SD
Zm00001eb266970	SD
Zm00001eb232360	SD
Zm00001eb224560	SD
Zm00001eb332160	SD
Zm00001eb417390	SD
Zm00001eb422410	SD
Zm00001eb366430	SD
Zm00001eb129910	SD
Zm00001eb191030	SD
Zm00001eb300730	SD
Zm00001eb230050	SD
Zm00001eb244640	SD
Zm00001eb289300	SD
Zm00001eb232580	SD
Zm00001eb072190	SD
Zm00001eb291640	SD
Zm00001eb344810	SD
Zm00001eb234120	SD
Zm00001eb256240	SD
Zm00001eb172880	SD
Zm00001eb350310	SD
Zm00001eb203310	SD
Zm00001eb082180	SD
Zm00001eb095250	SD
Zm00001eb103480	SD
Zm00001eb251680	SD
Zm00001eb080120	SD
Zm00001eb178580	SD
Zm00001eb195440	SD
Zm00001eb317510	SD
Zm00001eb019120	SD
Zm00001eb020300	SD
Zm00001eb352420	SD
Zm00001eb099830	SD
Zm00001eb128620	SD
Zm00001eb137930	SD
Zm00001eb307400	SD
Zm00001eb395600	SD
Zm00001eb362410	SD
Zm00001eb118010	SD
Zm00001eb421830	SD
Zm00001eb256450	SD
Zm00001eb052610	SD
Zm00001eb358310	SD
Zm00001eb251370	SD
Zm00001eb120750	SD
Zm00001eb174790	SD
Zm00001eb227800	SD
Zm00001eb316910	SD
Zm00001eb203800	SD
Zm00001eb221790	SD
Zm00001eb402220	SD
Zm00001eb258580	SD
Zm00001eb337020	SD
Zm00001eb113080	SD
Zm00001eb077250	SD
Zm00001eb037610	SD
Zm00001eb215610	SD
Zm00001eb075510	SD
Zm00001eb084240	SD
Zm00001eb242100	SD
Zm00001eb389600	SD
Zm00001eb251890	SD
Zm00001eb396390	SD
Zm00001eb107700	SD
Zm00001eb399250	SD
Zm00001eb246060	SD
Zm00001eb003700	SD
Zm00001eb193480	SD
Zm00001eb428890	SD
Zm00001eb110530	SD
Zm00001eb038900	SD
Zm00001eb192890	SD
Zm00001eb191230	SD
Zm00001eb024300	SD
Zm00001eb080090	SD
Zm00001eb295700	SD
Zm00001eb250080	SD
Zm00001eb427230	SD
Zm00001eb369170	SD
Zm00001eb309560	SD
Zm00001eb198560	SD
Zm00001eb247590	SD
Zm00001eb140000	SD
Zm00001eb392580	SD
Zm00001eb093630	SD
Zm00001eb205880	SD
Zm00001eb405790	SD
Zm00001eb218280	SD
Zm00001eb015130	SD
Zm00001eb333290	SD
Zm00001eb195850	SD
Zm00001eb136250	SD
Zm00001eb015420	SD
Zm00001eb325100	SD
Zm00001eb023490	SD
Zm00001eb150650	SD
Zm00001eb361960	SD
Zm00001eb180800	SD
Zm00001eb255160	SD
Zm00001eb218610	SD
Zm00001eb147900	SD
Zm00001eb289170	SD
Zm00001eb281520	SD
Zm00001eb426730	SD
Zm00001eb272430	SD
Zm00001eb038500	SD
Zm00001eb073680	SD
Zm00001eb391490	SD
Zm00001eb388180	SD
Zm00001eb077180	SD
Zm00001eb251400	SD
Zm00001eb100680	SD
Zm00001eb186650	SD
Zm00001eb379830	SD
Zm00001eb031360	SD
Zm00001eb429940	SD
Zm00001eb396830	SD
Zm00001eb288360	SD
Zm00001eb212670	SD
Zm00001eb370660	SD
Zm00001eb202260	SD
Zm00001eb214440	SD
Zm00001eb404180	SD
Zm00001eb330710	SD
Zm00001eb142450	SD
Zm00001eb366750	SD
Zm00001eb400660	SD
Zm00001eb062030	SD
Zm00001eb281180	SD
Zm00001eb294570	SD
Zm00001eb342590	SD
Zm00001eb332770	SD
Zm00001eb360710	SD
Zm00001eb273330	SD
Zm00001eb194180	SD
Zm00001eb163560	SD
Zm00001eb184000	SD
Zm00001eb011620	SD
Zm00001eb335200	SD
Zm00001eb023970	SD
Zm00001eb354680	SD
Zm00001eb118090	SD
Zm00001eb142190	SD
Zm00001eb325830	SD
Zm00001eb275820	SD
Zm00001eb423160	SD
Zm00001eb413940	SD
Zm00001eb428100	SD
Zm00001eb339480	SD
Zm00001eb182090	SD
Zm00001eb274210	SD
Zm00001eb338340	SD
Zm00001eb213710	SD
Zm00001eb103150	SD
Zm00001eb110510	SD
Zm00001eb417280	SD
Zm00001eb017950	SD
Zm00001eb296790	SD
Zm00001eb089660	SD
Zm00001eb370620	SD
Zm00001eb108220	SD
Zm00001eb107590	SD
Zm00001eb350910	SD
Zm00001eb029970	SD
Zm00001eb082300	SD
Zm00001eb260340	SD
Zm00001eb219030	SD
Zm00001eb017930	SD
Zm00001eb280620	SD
Zm00001eb369110	SD
Zm00001eb084550	SD
Zm00001eb071640	SD
Zm00001eb000550	SD
Zm00001eb241560	SD
Zm00001eb342960	SD
Zm00001eb158000	SD
Zm00001eb407530	SD
Zm00001eb323200	SD
Zm00001eb172180	SD
Zm00001eb367490	SD
Zm00001eb244560	SD
Zm00001eb150010	SD
Zm00001eb042020	SD
Zm00001eb218990	SD
Zm00001eb050530	SD
Zm00001eb223460	SD
Zm00001eb207010	SD
Zm00001eb013730	SD
Zm00001eb423450	SD
Zm00001eb188900	SD
Zm00001eb157870	SD
Zm00001eb101190	SD
Zm00001eb291150	SD
Zm00001eb319820	SD
Zm00001eb149570	SD
Zm00001eb055060	SD
Zm00001eb368840	SD
Zm00001eb269150	SD
Zm00001eb199540	SD
Zm00001eb314500	SD
Zm00001eb178250	SD
Zm00001eb424390	SD
Zm00001eb342100	SD
Zm00001eb186990	SD
Zm00001eb433300	SD
Zm00001eb398540	SD
Zm00001eb171100	SD
Zm00001eb266280	SD
Zm00001eb195980	SD
Zm00001eb077580	SD
Zm00001eb253120	SD
Zm00001eb019360	SD
Zm00001eb390420	SD
Zm00001eb386550	SD
Zm00001eb366780	SD
Zm00001eb106340	SD
Zm00001eb222560	SD
Zm00001eb396660	SD
Zm00001eb092090	SD
Zm00001eb395060	SD
Zm00001eb017880	SD
Zm00001eb275010	SD
Zm00001eb188890	SD
Zm00001eb005700	SD
Zm00001eb257210	SD
Zm00001eb233420	SD
Zm00001eb012380	SD
Zm00001eb430250	SD
Zm00001eb098330	SD
Zm00001eb289560	SD
Zm00001eb393470	SD
Zm00001eb122260	SD
Zm00001eb032000	SD
Zm00001eb217590	SD
Zm00001eb400220	SD
Zm00001eb010450	SD
Zm00001eb255700	SD
Zm00001eb218930	SD
Zm00001eb397340	SD
Zm00001eb324430	SD
Zm00001eb397730	SD
Zm00001eb217220	SD
Zm00001eb191380	SD
Zm00001eb032970	SD
Zm00001eb001560	SD
Zm00001eb357840	SD
Zm00001eb020740	SD
Zm00001eb296710	SD
Zm00001eb042770	SD
Zm00001eb240430	SD
Zm00001eb212710	SD
Zm00001eb311700	SD
Zm00001eb246870	SD
Zm00001eb148750	SD
Zm00001eb186620	SD
Zm00001eb382090	SD
Zm00001eb145530	SD
Zm00001eb017060	SD
Zm00001eb249400	SD
Zm00001eb100960	SD
Zm00001eb103190	SD
Zm00001eb235860	SD
Zm00001eb258260	SD
Zm00001eb336260	SD
Zm00001eb335070	SD
Zm00001eb325870	SD
Zm00001eb279360	SD
Zm00001eb354880	SD
Zm00001eb350550	SD
Zm00001eb106930	SD
Zm00001eb422580	SD
Zm00001eb359470	SD
Zm00001eb207970	SD
Zm00001eb337030	SD
Zm00001eb099570	SD
Zm00001eb333950	SD
Zm00001eb066050	SD
Zm00001eb353550	SD
Zm00001eb010200	SD
Zm00001eb033610	SD
Zm00001eb108270	SD
Zm00001eb300780	SD
Zm00001eb188220	SD
Zm00001eb272040	SD
Zm00001eb246270	SD
Zm00001eb314610	SD
Zm00001eb104070	SD
Zm00001eb265850	SD
Zm00001eb001630	SD
Zm00001eb176090	SD
Zm00001eb002660	SD
Zm00001eb194020	SD
Zm00001eb402390	SD
Zm00001eb355350	SD
Zm00001eb000230	SD
Zm00001eb217420	SD
Zm00001eb433010	SD
Zm00001eb252580	SD
Zm00001eb204960	SD
Zm00001eb103260	SD
Zm00001eb397150	SD
Zm00001eb294840	SD
Zm00001eb142960	SD
Zm00001eb352240	SD
Zm00001eb186150	SD
Zm00001eb103460	SD
Zm00001eb271450	SD
Zm00001eb315340	SD
Zm00001eb048310	SD
Zm00001eb394380	SD
Zm00001eb365810	SD
Zm00001eb103610	SD
Zm00001eb293180	SD
Zm00001eb356310	SD
Zm00001eb211990	SD
Zm00001eb357780	SD
Zm00001eb022710	SD
Zm00001eb425790	SD
Zm00001eb109710	SD
Zm00001eb101760	SD
Zm00001eb397880	SD
Zm00001eb194120	SD
Zm00001eb157260	SD
Zm00001eb398100	SD
Zm00001eb238730	SD
Zm00001eb183430	SD
Zm00001eb338630	SD
Zm00001eb353450	SD
Zm00001eb248100	SD
Zm00001eb391900	SD
Zm00001eb020940	SD
Zm00001eb053510	SD
Zm00001eb317850	SD
Zm00001eb181550	SD
Zm00001eb231790	SD
Zm00001eb327160	SD
Zm00001eb064680	SD
Zm00001eb304760	SD
Zm00001eb212900	SD
Zm00001eb366460	SD
Zm00001eb023870	SD
Zm00001eb017450	SD
Zm00001eb005650	SD
Zm00001eb373710	SD
Zm00001eb397260	SD
Zm00001eb395560	SD
Zm00001eb330530	SD
Zm00001eb041860	SD
Zm00001eb269300	SD
Zm00001eb405120	SD
Zm00001eb221110	SD
Zm00001eb257730	SD
Zm00001eb043940	SD
Zm00001eb160190	SD
Zm00001eb427070	SD
Zm00001eb156520	SD
Zm00001eb204390	SD
Zm00001eb383440	SD
Zm00001eb421710	SD
Zm00001eb175540	SD
Zm00001eb428470	SD
Zm00001eb173180	SD
Zm00001eb185650	SD
Zm00001eb062190	SD
Zm00001eb370320	SD
Zm00001eb033570	SD
Zm00001eb295810	SD
Zm00001eb255370	SD
Zm00001eb301540	SD
Zm00001eb355030	SD
Zm00001eb403720	SD
Zm00001eb431960	SD
Zm00001eb430620	SD
Zm00001eb012980	SD
Zm00001eb000380	SD
Zm00001eb195780	SD
Zm00001eb175560	SD
Zm00001eb393680	SD
Zm00001eb342540	SD
Zm00001eb157080	SD
Zm00001eb173820	SD
Zm00001eb077010	SD
Zm00001eb339810	SD
Zm00001eb082130	SD
Zm00001eb179260	SD
Zm00001eb226240	SD
Zm00001eb154380	SD
Zm00001eb188840	SD
Zm00001eb023160	SD
Zm00001eb118250	SD
Zm00001eb044590	SD
Zm00001eb070490	SD
Zm00001eb155060	SD
Zm00001eb008420	SD
Zm00001eb116730	SD
Zm00001eb015380	SD
Zm00001eb249610	SD
Zm00001eb219590	SD
Zm00001eb144840	SD
Zm00001eb386830	SD
Zm00001eb306380	SD
Zm00001eb311950	SD
Zm00001eb184300	SD
Zm00001eb242900	SD
Zm00001eb018830	SD
Zm00001eb191670	SD
Zm00001eb239500	SD
Zm00001eb271260	SD
Zm00001eb036990	SD
Zm00001eb186540	SD
Zm00001eb278960	SD
Zm00001eb108040	SD
Zm00001eb048270	SD
Zm00001eb283870	SD
Zm00001eb330200	SD
Zm00001eb395430	SD
Zm00001eb413050	SD
Zm00001eb176620	SD
Zm00001eb428650	SD
Zm00001eb419100	SD
Zm00001eb255240	SD
Zm00001eb206760	SD
Zm00001eb015500	SD
Zm00001eb051380	SD
Zm00001eb210880	SD
Zm00001eb433490	SD
Zm00001eb215350	SD
Zm00001eb432790	SD
Zm00001eb213860	SD
Zm00001eb294560	SD
Zm00001eb137020	SD
Zm00001eb154560	SD
Zm00001eb427290	SD
Zm00001eb311390	SD
Zm00001eb201390	SD
Zm00001eb369060	SD
Zm00001eb424420	SD
Zm00001eb420720	SD
Zm00001eb014740	SD
Zm00001eb205380	SD
Zm00001eb376180	SD
Zm00001eb347660	SD
Zm00001eb368560	SD
Zm00001eb249130	SD
Zm00001eb120320	SD
Zm00001eb089620	SD
Zm00001eb062170	SD
Zm00001eb319760	SD
Zm00001eb217570	SD
Zm00001eb360510	SD
Zm00001eb065580	SD
Zm00001eb107230	SD
Zm00001eb206720	SD
Zm00001eb107500	SD
Zm00001eb358630	SD
Zm00001eb272770	SD
Zm00001eb368330	SD
Zm00001eb048640	SD
Zm00001eb245340	SD
Zm00001eb093930	SD
Zm00001eb217310	SD
Zm00001eb354540	SD
Zm00001eb064390	SD
Zm00001eb022680	SD
Zm00001eb428380	SD
Zm00001eb191210	SD
Zm00001eb242300	SD
Zm00001eb321690	SD
Zm00001eb353030	SD
Zm00001eb101860	SD
Zm00001eb060720	SD
Zm00001eb032280	SD
Zm00001eb380690	SD
Zm00001eb360690	SD
Zm00001eb358960	SD
Zm00001eb205860	SD
Zm00001eb135920	SD
Zm00001eb187650	SD
Zm00001eb085950	SD
Zm00001eb148650	SD
Zm00001eb433520	SD
Zm00001eb127970	SD
Zm00001eb368970	SD
Zm00001eb401700	SD
Zm00001eb279760	SD
Zm00001eb256160	SD
Zm00001eb199900	SD
Zm00001eb327410	SD
Zm00001eb421990	SD
Zm00001eb275490	SD
Zm00001eb038450	SD
Zm00001eb322910	SD
Zm00001eb267630	SD
Zm00001eb079980	SD
Zm00001eb190810	SD
Zm00001eb303690	SD
Zm00001eb023130	SD
Zm00001eb007670	SD
Zm00001eb142400	SD
Zm00001eb074760	SD
Zm00001eb295890	SD
Zm00001eb128130	SD
Zm00001eb326900	SD
Zm00001eb289730	SD
Zm00001eb212620	SD
Zm00001eb312190	SD
Zm00001eb417630	SD
Zm00001eb058280	SD
Zm00001eb330450	SD
Zm00001eb385280	SD
Zm00001eb306270	SD
Zm00001eb036840	SD
Zm00001eb397440	SD
Zm00001eb240190	SD
Zm00001eb163760	SD
Zm00001eb205250	SD
Zm00001eb270160	SD
Zm00001eb260570	SD
Zm00001eb016690	SD
Zm00001eb143400	SD
Zm00001eb204490	SD
Zm00001eb258970	SD
Zm00001eb102580	SD
Zm00001eb433860	SD
Zm00001eb254940	SD
Zm00001eb338610	SD
Zm00001eb241850	SD
Zm00001eb372380	SD
Zm00001eb256600	SD
Zm00001eb117190	SD
Zm00001eb212970	SD
Zm00001eb392450	SD
Zm00001eb387370	SD
Zm00001eb119080	SD
Zm00001eb319770	SD
Zm00001eb039620	SD
Zm00001eb090960	SD
Zm00001eb095110	SD
Zm00001eb104780	SD
Zm00001eb359500	SD
Zm00001eb214610	SD
Zm00001eb358300	SD
Zm00001eb403940	SD
Zm00001eb194530	SD
Zm00001eb350370	SD
Zm00001eb249490	SD
Zm00001eb356490	SD
Zm00001eb128570	SD
Zm00001eb155610	SD
Zm00001eb266690	SD
Zm00001eb329840	SD
Zm00001eb144760	SD
Zm00001eb040220	SD
Zm00001eb051050	SD
Zm00001eb312600	SD
Zm00001eb080540	SD
Zm00001eb248150	SD
Zm00001eb296720	SD
Zm00001eb079500	SD
Zm00001eb254520	SD
Zm00001eb310260	SD
Zm00001eb159520	SD
Zm00001eb015170	SD
Zm00001eb380290	SD
Zm00001eb397180	SD
Zm00001eb327230	SD
Zm00001eb361040	SD
Zm00001eb253320	SD
Zm00001eb253280	SD
Zm00001eb007000	SD
Zm00001eb337280	SD
Zm00001eb108930	SD
Zm00001eb212580	SD
Zm00001eb377540	SD
Zm00001eb067150	SD
Zm00001eb249940	SD
Zm00001eb219100	SD
Zm00001eb072360	SD
Zm00001eb257880	SD
Zm00001eb357490	SD
Zm00001eb391580	SD
Zm00001eb096990	SD
Zm00001eb016880	SD
Zm00001eb048160	SD
Zm00001eb172270	SD
Zm00001eb096970	SD
Zm00001eb298130	SD
Zm00001eb191780	SD
Zm00001eb051140	SD
Zm00001eb100360	SD
Zm00001eb145390	SD
Zm00001eb430820	SD
Zm00001eb429800	SD
Zm00001eb314890	SD
Zm00001eb001120	SD
Zm00001eb100770	SD
Zm00001eb171840	SD
Zm00001eb292690	SD
Zm00001eb359110	SD
Zm00001eb117520	SD
Zm00001eb206820	SD
Zm00001eb188460	SD
Zm00001eb243960	SD
Zm00001eb332640	SD
Zm00001eb396200	SD
Zm00001eb217610	SD
Zm00001eb389980	SD
Zm00001eb301680	SD
Zm00001eb337510	SD
Zm00001eb393720	SD
Zm00001eb075470	SD
Zm00001eb311180	SD
Zm00001eb288110	SD
Zm00001eb399360	SD
Zm00001eb395720	SD
Zm00001eb387350	SD
Zm00001eb009550	SD
Zm00001eb338180	SD
Zm00001eb145950	SD
Zm00001eb173520	SD
Zm00001eb291540	SD
Zm00001eb295580	SD
Zm00001eb296270	SD
Zm00001eb297160	SD
Zm00001eb254540	SD
Zm00001eb293730	SD
Zm00001eb299760	SD
Zm00001eb249290	SD
Zm00001eb194590	SD
Zm00001eb022120	SD
Zm00001eb355170	SD
Zm00001eb185110	SD
Zm00001eb028460	SD
Zm00001eb078570	SD
Zm00001eb264050	SD
Zm00001eb247920	SD
Zm00001eb103200	SD
Zm00001eb249600	SD
Zm00001eb212930	SD
Zm00001eb248590	SD
Zm00001eb367970	SD
Zm00001eb278680	SD
Zm00001eb377480	SD
Zm00001eb199160	SD
Zm00001eb359250	SD
Zm00001eb326780	SD
Zm00001eb233740	SD
Zm00001eb344100	SD
Zm00001eb327790	SD
Zm00001eb149760	SD
Zm00001eb250650	SD
Zm00001eb056790	SD
Zm00001eb323700	SD
Zm00001eb147030	SD
Zm00001eb011060	SD
Zm00001eb106810	SD
Zm00001eb161830	SD
Zm00001eb052980	SD
Zm00001eb344730	SD
Zm00001eb414450	SD
Zm00001eb004470	SD
Zm00001eb248560	SD
Zm00001eb187670	SD
Zm00001eb173360	SD
Zm00001eb148630	SD
Zm00001eb102950	SD
Zm00001eb020120	SD
Zm00001eb023180	SD
Zm00001eb352100	SD
Zm00001eb404120	SD
Zm00001eb100890	SD
Zm00001eb052730	SD
Zm00001eb017260	SD
Zm00001eb295930	SD
Zm00001eb250120	SD
Zm00001eb363240	SD
Zm00001eb066620	SD
Zm00001eb327880	SD
Zm00001eb399390	SD
Zm00001eb039630	SD
Zm00001eb070970	SD
Zm00001eb105790	SD
Zm00001eb070700	SD
Zm00001eb163210	SD
Zm00001eb104870	SD
Zm00001eb127190	SD
Zm00001eb149690	SD
Zm00001eb186290	SD
Zm00001eb197090	SD
Zm00001eb097180	SD
Zm00001eb185300	SD
Zm00001eb306400	SD
Zm00001eb247760	SD
Zm00001eb020090	SD
Zm00001eb433400	SD
Zm00001eb365950	SD
Zm00001eb155280	SD
Zm00001eb115400	SD
Zm00001eb093150	SD
Zm00001eb326150	SD
Zm00001eb190440	SD
Zm00001eb285560	SD
Zm00001eb072580	SD
Zm00001eb182490	SD
Zm00001eb257850	SD
Zm00001eb362200	SD
Zm00001eb296430	SD
Zm00001eb356180	SD
Zm00001eb208490	SD
Zm00001eb058370	SD
Zm00001eb129480	SD
Zm00001eb151480	SD
Zm00001eb155670	SD
Zm00001eb036610	SD
Zm00001eb189130	SD
Zm00001eb284010	SD
Zm00001eb360010	SD
Zm00001eb041180	SD
Zm00001eb401560	SD
Zm00001eb211010	SD
Zm00001eb101130	SD
Zm00001eb061060	SD
Zm00001eb143960	SD
Zm00001eb205970	SD
Zm00001eb386220	SD
Zm00001eb100420	SD
Zm00001eb234680	SD
Zm00001eb389430	SD
Zm00001eb343460	SD
Zm00001eb198640	SD
Zm00001eb372900	SD
Zm00001eb210460	SD
Zm00001eb161360	SD
Zm00001eb296770	SD
Zm00001eb075170	SD
Zm00001eb430510	SD
Zm00001eb221560	SD
Zm00001eb388030	SD
Zm00001eb098560	SD
Zm00001eb128710	SD
Zm00001eb324100	SD
Zm00001eb079230	SD
Zm00001eb052690	SD
Zm00001eb015550	SD
Zm00001eb424380	SD
Zm00001eb290910	SD
Zm00001eb356530	SD
Zm00001eb054520	SD
Zm00001eb127720	SD
Zm00001eb117280	SD
Zm00001eb023220	SD
Zm00001eb119450	SD
Zm00001eb098960	SD
Zm00001eb033660	SD
Zm00001eb011640	SD
Zm00001eb010490	SD
Zm00001eb266390	SD
Zm00001eb228500	SD
Zm00001eb352800	SD
Zm00001eb329090	SD
Zm00001eb325630	SD
Zm00001eb257530	SD
Zm00001eb329500	SD
Zm00001eb338700	SD
Zm00001eb391450	SD
Zm00001eb275390	SD
Zm00001eb317810	SD
Zm00001eb230820	SD
Zm00001eb387140	SD
Zm00001eb247370	SD
Zm00001eb396050	SD
Zm00001eb425600	SD
Zm00001eb289160	SD
Zm00001eb364260	SD
Zm00001eb395390	SD
Zm00001eb303680	SD
Zm00001eb058630	SD
Zm00001eb193790	SD
Zm00001eb057540	SD
Zm00001eb370720	SD
Zm00001eb329780	SD
Zm00001eb416170	SD
Zm00001eb102500	SD
Zm00001eb397760	SD
Zm00001eb078730	SD
Zm00001eb312380	SD
Zm00001eb213420	SD
Zm00001eb103050	SD
Zm00001eb159810	SD
Zm00001eb024230	SD
Zm00001eb303080	SD
Zm00001eb016140	SD
Zm00001eb149860	SD
Zm00001eb184890	SD
Zm00001eb393580	SD
Zm00001eb074930	SD
Zm00001eb101630	SD
Zm00001eb160060	SD
Zm00001eb427650	SD
Zm00001eb397770	SD
Zm00001eb288160	SD
Zm00001eb146520	SD
Zm00001eb221780	SD
Zm00001eb120430	SD
Zm00001eb157680	SD
Zm00001eb250540	SD
Zm00001eb280660	SD
Zm00001eb253260	SD
Zm00001eb389410	SD
Zm00001eb317000	SD
Zm00001eb355860	SD
Zm00001eb325890	SD
Zm00001eb294230	SD
Zm00001eb154940	SD
Zm00001eb184410	SD
Zm00001eb393690	SD
Zm00001eb057700	SD
Zm00001eb249440	SD
Zm00001eb359530	SD
Zm00001eb426670	SD
Zm00001eb427470	SD
Zm00001eb356450	SD
Zm00001eb078070	SD
Zm00001eb368850	SD
Zm00001eb075050	SD
Zm00001eb003070	SD
Zm00001eb099370	SD
Zm00001eb335790	SD
Zm00001eb190280	SD
Zm00001eb147090	SD
Zm00001eb310830	SD
Zm00001eb402730	SD
Zm00001eb125130	SD
Zm00001eb228170	SD
Zm00001eb257170	SD
Zm00001eb373160	SD
Zm00001eb366670	SD
Zm00001eb146670	SD
Zm00001eb349310	SD
Zm00001eb400750	SD
Zm00001eb082750	SD
Zm00001eb105560	SD
Zm00001eb017970	SD
Zm00001eb380810	SD
Zm00001eb357390	SD
Zm00001eb234600	SD
Zm00001eb390210	SD
Zm00001eb208700	SD
Zm00001eb359760	SD
Zm00001eb160640	SD
Zm00001eb197500	SD
Zm00001eb154850	SD
Zm00001eb006970	SD
Zm00001eb398790	SD
Zm00001eb027780	SD
Zm00001eb222370	SD
Zm00001eb231490	SD
Zm00001eb338880	SD
Zm00001eb212470	SD
Zm00001eb101280	SD
Zm00001eb064710	SD
Zm00001eb187330	SD
Zm00001eb075810	SD
Zm00001eb319460	SD
Zm00001eb188310	SD
Zm00001eb275130	SD
Zm00001eb179560	SD
Zm00001eb109680	SD
Zm00001eb044970	SD
